	cell_line	perturbation	replicate	time	cell_count	time0_tag	ctrl_tag
20	MCF10A	0	1	48	1201	t0_1	c_1
21	MCF10A	0	1	48	1196	t0_1	c_1
22	MCF10A	0	1	48	1184	t0_1	c_1
23	MCF10A	0	1	48	1210	t0_1	c_1
24	MCF10A	0	1	48	1258	t0_1	c_1
25	MCF10A	0	1	48	1246	t0_1	c_1
26	MCF10A	0	1	48	1227	t0_1	c_1
27	MCF10A	0	1	48	1212	t0_1	c_1
64	MCF10A	0	2	48	1189	t0_1	c_2
65	MCF10A	0	2	48	1089	t0_1	c_2
66	MCF10A	0	2	48	1156	t0_1	c_2
67	MCF10A	0	2	48	1089	t0_1	c_2
68	MCF10A	0	2	48	1152	t0_1	c_2
69	MCF10A	0	2	48	1176	t0_1	c_2
70	MCF10A	0	2	48	1308	t0_1	c_2
71	MCF10A	0	2	48	1265	t0_1	c_2
108	MCF10A	0	1	72	2336	t0_1	c_3
109	MCF10A	0	1	72	2178	t0_1	c_3
110	MCF10A	0	1	72	2511	t0_1	c_3
111	MCF10A	0	1	72	2321	t0_1	c_3
112	MCF10A	0	1	72	2436	t0_1	c_3
113	MCF10A	0	1	72	2339	t0_1	c_3
114	MCF10A	0	1	72	2407	t0_1	c_3
115	MCF10A	0	1	72	2178	t0_1	c_3
152	MCF10A	0	2	72	2331	t0_1	c_4
153	MCF10A	0	2	72	2178	t0_1	c_4
154	MCF10A	0	2	72	2566	t0_1	c_4
155	MCF10A	0	2	72	2505	t0_1	c_4
156	MCF10A	0	2	72	2246	t0_1	c_4
157	MCF10A	0	2	72	2552	t0_1	c_4
158	MCF10A	0	2	72	2505	t0_1	c_4
159	MCF10A	0	2	72	2293	t0_1	c_4
216	MCF10A	1	1	48	877	t0_2	c_5
217	MCF10A	1	1	48	810	t0_2	c_5
218	MCF10A	1	1	48	778	t0_2	c_5
219	MCF10A	1	1	48	822	t0_2	c_5
220	MCF10A	1	1	48	808	t0_2	c_5
221	MCF10A	1	1	48	856	t0_2	c_5
222	MCF10A	1	1	48	807	t0_2	c_5
223	MCF10A	1	1	48	800	t0_2	c_5
260	MCF10A	1	2	48	838	t0_2	c_6
261	MCF10A	1	2	48	730	t0_2	c_6
262	MCF10A	1	2	48	793	t0_2	c_6
263	MCF10A	1	2	48	773	t0_2	c_6
264	MCF10A	1	2	48	799	t0_2	c_6
265	MCF10A	1	2	48	820	t0_2	c_6
266	MCF10A	1	2	48	746	t0_2	c_6
267	MCF10A	1	2	48	821	t0_2	c_6
304	MCF10A	1	1	72	1357	t0_2	c_7
305	MCF10A	1	1	72	1293	t0_2	c_7
306	MCF10A	1	1	72	1305	t0_2	c_7
307	MCF10A	1	1	72	1368	t0_2	c_7
308	MCF10A	1	1	72	1246	t0_2	c_7
309	MCF10A	1	1	72	1235	t0_2	c_7
310	MCF10A	1	1	72	1410	t0_2	c_7
311	MCF10A	1	1	72	1313	t0_2	c_7
348	MCF10A	1	2	72	1294	t0_2	c_8
349	MCF10A	1	2	72	1239	t0_2	c_8
350	MCF10A	1	2	72	1268	t0_2	c_8
351	MCF10A	1	2	72	1345	t0_2	c_8
352	MCF10A	1	2	72	1210	t0_2	c_8
353	MCF10A	1	2	72	1284	t0_2	c_8
354	MCF10A	1	2	72	1218	t0_2	c_8
355	MCF10A	1	2	72	1305	t0_2	c_8
412	MCF7	0	1	48	923	t0_3	c_9
413	MCF7	0	1	48	933	t0_3	c_9
414	MCF7	0	1	48	869	t0_3	c_9
415	MCF7	0	1	48	951	t0_3	c_9
416	MCF7	0	1	48	968	t0_3	c_9
417	MCF7	0	1	48	925	t0_3	c_9
418	MCF7	0	1	48	950	t0_3	c_9
419	MCF7	0	1	48	900	t0_3	c_9
456	MCF7	0	2	48	974	t0_3	c_10
457	MCF7	0	2	48	920	t0_3	c_10
458	MCF7	0	2	48	931	t0_3	c_10
459	MCF7	0	2	48	856	t0_3	c_10
460	MCF7	0	2	48	986	t0_3	c_10
461	MCF7	0	2	48	1036	t0_3	c_10
462	MCF7	0	2	48	969	t0_3	c_10
463	MCF7	0	2	48	916	t0_3	c_10
500	MCF7	0	1	72	1493	t0_3	c_11
501	MCF7	0	1	72	1310	t0_3	c_11
502	MCF7	0	1	72	1484	t0_3	c_11
503	MCF7	0	1	72	1557	t0_3	c_11
504	MCF7	0	1	72	1559	t0_3	c_11
505	MCF7	0	1	72	1495	t0_3	c_11
506	MCF7	0	1	72	1457	t0_3	c_11
507	MCF7	0	1	72	1348	t0_3	c_11
544	MCF7	0	2	72	1388	t0_3	c_12
545	MCF7	0	2	72	1458	t0_3	c_12
546	MCF7	0	2	72	1337	t0_3	c_12
547	MCF7	0	2	72	1412	t0_3	c_12
548	MCF7	0	2	72	1342	t0_3	c_12
549	MCF7	0	2	72	1519	t0_3	c_12
550	MCF7	0	2	72	1434	t0_3	c_12
551	MCF7	0	2	72	1345	t0_3	c_12
608	MCF7	1	1	48	851	t0_4	c_13
609	MCF7	1	1	48	840	t0_4	c_13
610	MCF7	1	1	48	899	t0_4	c_13
611	MCF7	1	1	48	893	t0_4	c_13
612	MCF7	1	1	48	847	t0_4	c_13
613	MCF7	1	1	48	877	t0_4	c_13
614	MCF7	1	1	48	892	t0_4	c_13
615	MCF7	1	1	48	864	t0_4	c_13
652	MCF7	1	2	48	873	t0_4	c_14
653	MCF7	1	2	48	795	t0_4	c_14
654	MCF7	1	2	48	874	t0_4	c_14
655	MCF7	1	2	48	820	t0_4	c_14
656	MCF7	1	2	48	840	t0_4	c_14
657	MCF7	1	2	48	904	t0_4	c_14
658	MCF7	1	2	48	871	t0_4	c_14
659	MCF7	1	2	48	895	t0_4	c_14
696	MCF7	1	1	72	1259	t0_4	c_15
697	MCF7	1	1	72	1163	t0_4	c_15
698	MCF7	1	1	72	1206	t0_4	c_15
699	MCF7	1	1	72	1155	t0_4	c_15
700	MCF7	1	1	72	1258	t0_4	c_15
701	MCF7	1	1	72	1183	t0_4	c_15
702	MCF7	1	1	72	1313	t0_4	c_15
703	MCF7	1	1	72	1239	t0_4	c_15
740	MCF7	1	2	72	1226	t0_4	c_16
741	MCF7	1	2	72	1155	t0_4	c_16
742	MCF7	1	2	72	1213	t0_4	c_16
743	MCF7	1	2	72	1265	t0_4	c_16
744	MCF7	1	2	72	1204	t0_4	c_16
745	MCF7	1	2	72	1342	t0_4	c_16
746	MCF7	1	2	72	1262	t0_4	c_16
747	MCF7	1	2	72	1257	t0_4	c_16
804	BT20	0	1	48	1185	t0_5	c_17
805	BT20	0	1	48	1178	t0_5	c_17
806	BT20	0	1	48	1146	t0_5	c_17
807	BT20	0	1	48	1124	t0_5	c_17
808	BT20	0	1	48	1175	t0_5	c_17
809	BT20	0	1	48	1098	t0_5	c_17
810	BT20	0	1	48	1045	t0_5	c_17
811	BT20	0	1	48	1095	t0_5	c_17
848	BT20	0	2	48	1212	t0_5	c_18
849	BT20	0	2	48	1201	t0_5	c_18
850	BT20	0	2	48	1096	t0_5	c_18
851	BT20	0	2	48	1094	t0_5	c_18
852	BT20	0	2	48	1245	t0_5	c_18
853	BT20	0	2	48	1195	t0_5	c_18
854	BT20	0	2	48	1206	t0_5	c_18
855	BT20	0	2	48	1178	t0_5	c_18
892	BT20	0	3	48	1077	t0_5	c_19
893	BT20	0	3	48	1029	t0_5	c_19
894	BT20	0	3	48	1150	t0_5	c_19
895	BT20	0	3	48	1112	t0_5	c_19
896	BT20	0	3	48	1074	t0_5	c_19
897	BT20	0	3	48	1134	t0_5	c_19
898	BT20	0	3	48	1088	t0_5	c_19
899	BT20	0	3	48	1141	t0_5	c_19
936	BT20	0	1	72	1678	t0_5	c_20
937	BT20	0	1	72	1742	t0_5	c_20
938	BT20	0	1	72	1823	t0_5	c_20
939	BT20	0	1	72	1691	t0_5	c_20
940	BT20	0	1	72	1808	t0_5	c_20
941	BT20	0	1	72	1870	t0_5	c_20
942	BT20	0	1	72	1887	t0_5	c_20
943	BT20	0	1	72	1604	t0_5	c_20
980	BT20	0	2	72	1799	t0_5	c_21
981	BT20	0	2	72	1685	t0_5	c_21
982	BT20	0	2	72	1680	t0_5	c_21
983	BT20	0	2	72	1681	t0_5	c_21
984	BT20	0	2	72	1665	t0_5	c_21
985	BT20	0	2	72	1717	t0_5	c_21
986	BT20	0	2	72	1887	t0_5	c_21
987	BT20	0	2	72	1859	t0_5	c_21
1024	BT20	0	3	72	1823	t0_5	c_22
1025	BT20	0	3	72	1664	t0_5	c_22
1026	BT20	0	3	72	1715	t0_5	c_22
1027	BT20	0	3	72	1700	t0_5	c_22
1028	BT20	0	3	72	1674	t0_5	c_22
1029	BT20	0	3	72	1749	t0_5	c_22
1030	BT20	0	3	72	1883	t0_5	c_22
1031	BT20	0	3	72	1716	t0_5	c_22
1088	BT20	1	1	48	880	t0_6	c_23
1089	BT20	1	1	48	812	t0_6	c_23
1090	BT20	1	1	48	882	t0_6	c_23
1091	BT20	1	1	48	848	t0_6	c_23
1092	BT20	1	1	48	914	t0_6	c_23
1093	BT20	1	1	48	848	t0_6	c_23
1094	BT20	1	1	48	877	t0_6	c_23
1095	BT20	1	1	48	787	t0_6	c_23
1132	BT20	1	2	48	817	t0_6	c_24
1133	BT20	1	2	48	811	t0_6	c_24
1134	BT20	1	2	48	866	t0_6	c_24
1135	BT20	1	2	48	877	t0_6	c_24
1136	BT20	1	2	48	943	t0_6	c_24
1137	BT20	1	2	48	866	t0_6	c_24
1138	BT20	1	2	48	866	t0_6	c_24
1139	BT20	1	2	48	952	t0_6	c_24
1176	BT20	1	3	48	809	t0_6	c_25
1177	BT20	1	3	48	867	t0_6	c_25
1178	BT20	1	3	48	894	t0_6	c_25
1179	BT20	1	3	48	845	t0_6	c_25
1180	BT20	1	3	48	939	t0_6	c_25
1181	BT20	1	3	48	900	t0_6	c_25
1182	BT20	1	3	48	898	t0_6	c_25
1183	BT20	1	3	48	843	t0_6	c_25
1220	BT20	1	1	72	1053	t0_6	c_26
1221	BT20	1	1	72	1115	t0_6	c_26
1222	BT20	1	1	72	1181	t0_6	c_26
1223	BT20	1	1	72	1039	t0_6	c_26
1224	BT20	1	1	72	1233	t0_6	c_26
1225	BT20	1	1	72	1162	t0_6	c_26
1226	BT20	1	1	72	1127	t0_6	c_26
1227	BT20	1	1	72	1103	t0_6	c_26
1264	BT20	1	2	72	1159	t0_6	c_27
1265	BT20	1	2	72	1129	t0_6	c_27
