cell_line	agent	perturbation	replicate	time	concentration	cell_count	cell_count__ctrl	cell_count__time0	GRvalue
MCF10A	drugA	0	1	48	0.001	1131	1212.5	299.5	0.932192640069
MCF10A	drugA	0	1	48	0.003162	1205	1212.5	299.5	0.993858057695
MCF10A	drugA	0	1	48	0.01	1021	1212.5	299.5	0.836636259139
MCF10A	drugA	0	1	48	0.03162	743	1212.5	299.5	0.568911721218
MCF10A	drugA	0	1	48	0.1	459	1212.5	299.5	0.235692165878
MCF10A	drugA	0	1	48	0.3162	318	1212.5	299.5	0.030156406003
MCF10A	drugA	0	1	48	1	284	1212.5	299.5	-0.0259975765671
MCF10A	drugA	0	1	48	3.162	274	1212.5	299.5	-0.0431516341588
MCF10A	drugA	0	1	48	10	249	1212.5	299.5	-0.0874718726645
MCF10A	drugB	0	1	48	0.001	1088	1212.5	299.5	0.895422297301
MCF10A	drugB	0	1	48	0.003162	1215	1212.5	299.5	1.00204305434
MCF10A	drugB	0	1	48	0.01	1227	1212.5	299.5	1.01182033508
MCF10A	drugB	0	1	48	0.03162	1075	1212.5	299.5	0.884161942324
MCF10A	drugB	0	1	48	0.1	1125	1212.5	299.5	0.927104741471
MCF10A	drugB	0	1	48	0.3162	967	1212.5	299.5	0.787825144787
MCF10A	drugB	0	1	48	1	766	1212.5	299.5	0.592801033747
MCF10A	drugB	0	1	48	3.162	531	1212.5	299.5	0.328247418331
MCF10A	drugB	0	1	48	10	322	1212.5	299.5	0.0365593885246
MCF10A	drugC	0	1	48	0.001	1118	1212.5	299.5	0.921151532999
MCF10A	drugC	0	1	48	0.003162	1187	1212.5	299.5	0.979038268691
MCF10A	drugC	0	1	48	0.01	1199	1212.5	299.5	0.988930610203
MCF10A	drugC	0	1	48	0.03162	1257	1212.5	299.5	1.03605460567
MCF10A	drugC	0	1	48	0.1	1087	1212.5	299.5	0.894558533399
MCF10A	drugC	0	1	48	0.3162	1049	1212.5	299.5	0.861433309161
MCF10A	drugC	0	1	48	1	793	1212.5	299.5	0.620388000756
MCF10A	drugC	0	1	48	3.162	488	1212.5	299.5	0.273794592641
MCF10A	drugC	0	1	48	10	409	1212.5	299.5	0.167027480963
MCF10A	drugD	0	1	48	0.001	1172	1212.5	299.5	0.966601646061
MCF10A	drugD	0	1	48	0.003162	1146	1212.5	299.5	0.944853149247
MCF10A	drugD	0	1	48	0.01	1115	1212.5	299.5	0.918594404848
MCF10A	drugD	0	1	48	0.03162	971	1212.5	299.5	0.791487188767
MCF10A	drugD	0	1	48	0.1	817	1212.5	299.5	0.644514657451
MCF10A	drugD	0	1	48	0.3162	656	1212.5	299.5	0.474988680001
MCF10A	drugD	0	1	48	1	651	1212.5	299.5	0.469405145703
MCF10A	drugD	0	1	48	3.162	616	1212.5	299.5	0.429699167805
MCF10A	drugD	0	1	48	10	577	1212.5	299.5	0.384090249686
MCF10A	drugA	0	2	48	0.001	1301	1168.25	299.5	1.11267412505
MCF10A	drugA	0	2	48	0.003162	1038	1168.25	299.5	0.883157092346
MCF10A	drugA	0	2	48	0.01	928	1168.25	299.5	0.77874000946
MCF10A	drugA	0	2	48	0.03162	706	1168.25	299.5	0.547547442048
MCF10A	drugA	0	2	48	0.1	479	1168.25	299.5	0.270144644653
MCF10A	drugA	0	2	48	0.3162	342	1168.25	299.5	0.0699093362167
MCF10A	drugA	0	2	48	1	294	1168.25	299.5	-0.00939413164176
MCF10A	drugA	0	2	48	3.162	264	1168.25	299.5	-0.0622276729435
MCF10A	drugA	0	2	48	10	288	1168.25	299.5	-0.0197411842335
MCF10A	drugB	0	2	48	0.001	1114	1168.25	299.5	0.952153397547
MCF10A	drugB	0	2	48	0.003162	1154	1168.25	299.5	0.987539510129
MCF10A	drugB	0	2	48	0.01	1239	1168.25	299.5	1.06078949877
MCF10A	drugB	0	2	48	0.03162	1189	1168.25	299.5	1.01801159354
MCF10A	drugB	0	2	48	0.1	1086	1168.25	299.5	0.927010746729
MCF10A	drugB	0	2	48	0.3162	1111	1168.25	299.5	0.949474491588
MCF10A	drugB	0	2	48	1	852	1168.25	299.5	0.703003351726
MCF10A	drugB	0	2	48	3.162	469	1168.25	299.5	0.256571507496
MCF10A	drugB	0	2	48	10	339	1168.25	299.5	0.065119725668
MCF10A	drugC	0	2	48	0.001	1135	1168.25	299.5	0.970807456708
MCF10A	drugC	0	2	48	0.003162	1284	1168.25	299.5	1.09857072933
MCF10A	drugC	0	2	48	0.01	1150	1168.25	299.5	0.984028274247
MCF10A	drugC	0	2	48	0.03162	1094	1168.25	299.5	0.934226498939
MCF10A	drugC	0	2	48	0.1	1255	1168.25	299.5	1.07429880111
MCF10A	drugC	0	2	48	0.3162	1107	1168.25	299.5	0.945897088508
MCF10A	drugC	0	2	48	1	695	1168.25	299.5	0.535221437797
MCF10A	drugC	0	2	48	3.162	487	1168.25	299.5	0.280903325559
MCF10A	drugC	0	2	48	10	441	1168.25	299.5	0.217792036177
MCF10A	drugD	0	2	48	0.001	1177	1168.25	299.5	1.0076142389
MCF10A	drugD	0	2	48	0.003162	1119	1168.25	299.5	0.956610385205
MCF10A	drugD	0	2	48	0.01	1235	1168.25	299.5	1.05739881752
MCF10A	drugD	0	2	48	0.03162	1017	1168.25	299.5	0.863658593247
MCF10A	drugD	0	2	48	0.1	763	1168.25	299.5	0.609961051669
MCF10A	drugD	0	2	48	0.3162	608	1168.25	299.5	0.434147767646
MCF10A	drugD	0	2	48	1	663	1168.25	299.5	0.498808989803
MCF10A	drugD	0	2	48	3.162	636	1168.25	299.5	0.467409380002
MCF10A	drugD	0	2	48	10	652	1168.25	299.5	0.486093742659
MCF10A	drugA	0	1	72	0.001	2158	2350.75	299.5	0.943257650347
MCF10A	drugA	0	1	72	0.003162	2258	2350.75	299.5	0.973097593354
MCF10A	drugA	0	1	72	0.01	1851	2350.75	299.5	0.845481968442
MCF10A	drugA	0	1	72	0.03162	1373	2350.75	299.5	0.669030718944
MCF10A	drugA	0	1	72	0.1	723	2350.75	299.5	0.345120190671
MCF10A	drugA	0	1	72	0.3162	358	2350.75	299.5	0.0618611865885
