cell_line,agent,perturbation,replicate,time,concentration,cell_count,cell_count__ctrl,cell_count__time0
PT400ROVp6,Drug A,0,1,22,0.0078125,,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,0.015625,,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,0.03125,0.201533453,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,0.0625,0.190641153,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,0.125,0.157029453,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,0.25,0.241652653,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,0.5,0.227967453,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,1,0.183586553,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,2,0.231929753,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,4,0.222637553,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,8,,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,16,0.163441653,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,32,0.195374553,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,64,0.149054853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,128,0.136394453,0.191789016,0.137623887
PT400ROVp6,Drug A,0,1,22,256,0.131895853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,0.0078125,,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,0.015625,0.236249653,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,0.03125,0.190026853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,0.0625,0.203406153,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,0.125,0.144713253,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,0.25,0.228479953,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,0.5,0.197242853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,1,0.188721853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,2,0.216323753,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,4,0.218461853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,8,0.174583853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,16,0.168975253,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,32,0.187797653,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,64,0.160837753,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,128,0.130121353,0.191789016,0.137623887
PT400ROVp6,Drug A,0,2,22,256,0.145061553,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,0.0078125,,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,0.015625,0.220165253,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,0.03125,0.210410653,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,0.0625,0.194826553,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,0.125,,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,0.25,0.223334853,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,0.5,0.178068353,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,1,0.224416053,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,2,0.257859253,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,4,0.188221653,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,8,0.172852053,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,16,0.214707953,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,32,0.171704753,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,64,0.144430353,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,128,0.111376053,0.191789016,0.137623887
PT400ROVp6,Drug A,0,3,22,256,0.154996253,0.191789016,0.137623887
