cell_line,agent,perturbation,replicate,time,concentration,cell_count,cell_count__ctrl,cell_count__time0
PT217OBXp12,Drug A,0,1,46,0.0078125,0.304472253,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,0.015625,0.306767453,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,0.03125,0.329409853,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,0.0625,0.288540753,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,0.125,0.287548753,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,0.25,0.287455853,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,0.5,0.298702853,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,1,0.225619353,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,2,0.288329553,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,4,0.251286153,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,8,0.233456253,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,16,0.162060653,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,32,0.115442453,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,64,0.083093653,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,128,0.068644553,0.267254437,0.08175962
PT217OBXp12,Drug A,0,1,46,256,0.064320553,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,0.0078125,0.296118753,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,0.015625,0.311174653,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,0.03125,0.309166153,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,0.0625,0.326521353,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,0.125,0.314957953,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,0.25,0.298940653,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,0.5,0.273269953,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,1,0.244895353,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,2,,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,4,0.246669853,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,8,,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,16,0.177910653,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,32,,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,64,0.079403753,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,128,0.063453853,0.267254437,0.08175962
PT217OBXp12,Drug A,0,2,46,256,0.060149353,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,0.0078125,0.318342053,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,0.015625,0.318462753,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,0.03125,0.298502053,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,0.0625,0.302994853,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,0.125,0.322551453,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,0.25,0.275571453,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,0.5,0.267466453,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,1,0.270118053,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,2,0.287849753,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,4,0.266506653,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,8,0.235992853,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,16,0.196730353,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,32,0.116010053,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,64,0.087698253,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,128,0.069222653,0.267254437,0.08175962
PT217OBXp12,Drug A,0,3,46,256,0.071463053,0.267254437,0.08175962
