cell_line	egf	time	agent	concentration	replicate	cell_count	cell_count__ctrl	cell_count__time0
MCF10A	0	72	17-AAG	0.0316	0	485	500	100
MCF10A	0	72	17-AAG	0.100	0	463	500	100
MCF10A	0	72	17-AAG	0.316	0	414	500	100
MCF10A	0	72	17-AAG	1.00	0	315	500	100
MCF10A	0	72	17-AAG	3.16	0	202	500	100
MCF10A	0	72	17-AAG	10.0	0	92	500	100
MCF10A	0	72	17-AAG	0.0316	1	487	500	100
MCF10A	0	72	17-AAG	0.100	1	457	500	100
MCF10A	0	72	17-AAG	0.316	1	410	500	100
MCF10A	0	72	17-AAG	1.00	1	314	500	100
MCF10A	0	72	17-AAG	3.16	1	194	500	100
MCF10A	0	72	17-AAG	10.0	1	89	500	100
MCF10A	0	72	17-AAG	0.0316	2	486	500	100
MCF10A	0	72	17-AAG	0.100	2	466	500	100
MCF10A	0	72	17-AAG	0.316	2	419	500	100
MCF10A	0	72	17-AAG	1.00	2	319	500	100
MCF10A	0	72	17-AAG	3.16	2	183	500	100
MCF10A	0	72	17-AAG	10.0	2	93	500	100
MCF10A	0	72	Etoposide	0.0316	0	432	500	100
MCF10A	0	72	Etoposide	0.100	0	338	500	100
MCF10A	0	72	Etoposide	0.316	0	226	500	100
MCF10A	0	72	Etoposide	1.00	0	112	500	100
MCF10A	0	72	Etoposide	3.16	0	61	500	100
MCF10A	0	72	Etoposide	10.0	0	34	500	100
MCF10A	0	72	Etoposide	0.0316	1	429	500	100
MCF10A	0	72	Etoposide	0.100	1	344	500	100
MCF10A	0	72	Etoposide	0.316	1	225	500	100
MCF10A	0	72	Etoposide	1.00	1	116	500	100
MCF10A	0	72	Etoposide	3.16	1	60	500	100
MCF10A	0	72	Etoposide	10.0	1	28	500	100
MCF10A	0	72	Etoposide	0.0316	2	428	500	100
MCF10A	0	72	Etoposide	0.100	2	345	500	100
MCF10A	0	72	Etoposide	0.316	2	233	500	100
MCF10A	0	72	Etoposide	1.00	2	128	500	100
MCF10A	0	72	Etoposide	3.16	2	55	500	100
MCF10A	0	72	Etoposide	10.0	2	31	500	100
MCF10A	0	72	GSK2126458	0.0316	0	534	500	100
MCF10A	0	72	GSK2126458	0.100	0	375	500	100
MCF10A	0	72	GSK2126458	0.316	0	338	500	100
MCF10A	0	72	GSK2126458	1.00	0	305	500	100
MCF10A	0	72	GSK2126458	3.16	0	213	500	100
MCF10A	0	72	GSK2126458	10.0	0	58	500	100
MCF10A	0	72	GSK2126458	0.0316	1	403	500	100
MCF10A	0	72	GSK2126458	0.100	1	501	500	100
MCF10A	0	72	GSK2126458	0.316	1	384	500	100
MCF10A	0	72	GSK2126458	1.00	1	299	500	100
MCF10A	0	72	GSK2126458	3.16	1	198	500	100
MCF10A	0	72	GSK2126458	10.0	1	105	500	100
MCF10A	0	72	GSK2126458	0.0316	2	419	500	100
MCF10A	0	72	GSK2126458	0.100	2	404	500	100
MCF10A	0	72	GSK2126458	0.316	2	317	500	100
MCF10A	0	72	GSK2126458	1.00	2	263	500	100
MCF10A	0	72	GSK2126458	3.16	2	189	500	100
MCF10A	0	72	GSK2126458	10.0	2	106	500	100
MCF10A	1	72	17-AAG	0.0316	0	390	400	100
MCF10A	1	72	17-AAG	0.100	0	358	400	100
MCF10A	1	72	17-AAG	0.316	0	313	400	100
MCF10A	1	72	17-AAG	1.00	0	229	400	100
MCF10A	1	72	17-AAG	3.16	0	136	400	100
MCF10A	1	72	17-AAG	10.0	0	65	400	100
MCF10A	1	72	17-AAG	0.0316	1	389	400	100
MCF10A	1	72	17-AAG	0.100	1	363	400	100
MCF10A	1	72	17-AAG	0.316	1	316	400	100
MCF10A	1	72	17-AAG	1.00	1	224	400	100
MCF10A	1	72	17-AAG	3.16	1	133	400	100
MCF10A	1	72	17-AAG	10.0	1	71	400	100
MCF10A	1	72	17-AAG	0.0316	2	388	400	100
