cell_line	agent	perturbation	replicate	time	concentration	cell_count	cell_count__ctrl	cell_count__time0	ctrl_tag	time0_tag	GRvalue
MCF10A	-	0	NaN	0	0	97	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	135	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	66	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	106	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	69	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	98	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	92	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	92	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	66	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	102	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	115	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	141	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	120	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	66	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	69	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	123	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	73	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	105	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	66	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	NaN	0	0	119	NaN	94	c_0	t0_1	NaN
MCF10A	-	0	1	48	0	408	344	94	c_1	t0_1	NaN
MCF10A	-	0	1	48	0	357	344	94	c_1	t0_1	NaN
MCF10A	-	0	1	48	0	334	344	94	c_1	t0_1	NaN
MCF10A	-	0	1	48	0	327	344	94	c_1	t0_1	NaN
MCF10A	-	0	1	48	0	327	344	94	c_1	t0_1	NaN
