cell_line	agent	perturbation	replicate	time	concentration	cell_count	cell_count__ctrl	cell_count__time0
MCF10A	drugA	0	1	48	0.001	359	344	94
MCF10A	drugA	0	1	48	0.003162	399	344	94
MCF10A	drugA	0	1	48	0.01	405	344	94
MCF10A	drugA	0	1	48	0.03162	334	344	94
MCF10A	drugA	0	1	48	0.1	360	344	94
MCF10A	drugA	0	1	48	0.3162	347	344	94
MCF10A	drugA	0	1	48	1	324	344	94
MCF10A	drugA	0	1	48	3.162	164	344	94
MCF10A	drugA	0	1	48	10	156	344	94
MCF10A	drugB	0	1	48	0.001	289	344	94
MCF10A	drugB	0	1	48	0.003162	355	344	94
MCF10A	drugB	0	1	48	0.01	391	344	94
MCF10A	drugB	0	1	48	0.03162	349	344	94
MCF10A	drugB	0	1	48	0.1	356	344	94
MCF10A	drugB	0	1	48	0.3162	322	344	94
MCF10A	drugB	0	1	48	1	255	344	94
MCF10A	drugB	0	1	48	3.162	144	344	94
MCF10A	drugB	0	1	48	10	143	344	94
MCF10A	drugC	0	1	48	0.001	296	344	94
MCF10A	drugC	0	1	48	0.003162	332	344	94
MCF10A	drugC	0	1	48	0.01	342	344	94
MCF10A	drugC	0	1	48	0.03162	312	344	94
MCF10A	drugC	0	1	48	0.1	382	344	94
MCF10A	drugC	0	1	48	0.3162	290	344	94
MCF10A	drugC	0	1	48	1	219	344	94
MCF10A	drugC	0	1	48	3.162	240	344	94
MCF10A	drugC	0	1	48	10	241	344	94
MCF10A	drugD	0	1	48	0.001	343	344	94
MCF10A	drugD	0	1	48	0.003162	291	344	94
MCF10A	drugD	0	1	48	0.01	308	344	94
MCF10A	drugD	0	1	48	0.03162	316	344	94
MCF10A	drugD	0	1	48	0.1	230	344	94
MCF10A	drugD	0	1	48	0.3162	160	344	94
MCF10A	drugD	0	1	48	1	114	344	94
MCF10A	drugD	0	1	48	3.162	127	344	94
MCF10A	drugD	0	1	48	10	115	344	94
MCF10A	drugA	0	2	48	0.001	349	336	94
MCF10A	drugA	0	2	48	0.003162	378	336	94
MCF10A	drugA	0	2	48	0.01	314	336	94
MCF10A	drugA	0	2	48	0.03162	357	336	94
MCF10A	drugA	0	2	48	0.1	380	336	94
MCF10A	drugA	0	2	48	0.3162	342	336	94
MCF10A	drugA	0	2	48	1	236	336	94
MCF10A	drugA	0	2	48	3.162	199	336	94
MCF10A	drugA	0	2	48	10	141	336	94
MCF10A	drugB	0	2	48	0.001	328	336	94
MCF10A	drugB	0	2	48	0.003162	311	336	94
MCF10A	drugB	0	2	48	0.01	291	336	94
MCF10A	drugB	0	2	48	0.03162	348	336	94
MCF10A	drugB	0	2	48	0.1	363	336	94
MCF10A	drugB	0	2	48	0.3162	349	336	94
MCF10A	drugB	0	2	48	1	312	336	94
MCF10A	drugB	0	2	48	3.162	191	336	94
MCF10A	drugB	0	2	48	10	172	336	94
MCF10A	drugC	0	2	48	0.001	337	336	94
MCF10A	drugC	0	2	48	0.003162	340	336	94
MCF10A	drugC	0	2	48	0.01	304	336	94
MCF10A	drugC	0	2	48	0.03162	391	336	94
MCF10A	drugC	0	2	48	0.1	291	336	94
MCF10A	drugC	0	2	48	0.3162	296	336	94
MCF10A	drugC	0	2	48	1	232	336	94
MCF10A	drugC	0	2	48	3.162	223	336	94
MCF10A	drugC	0	2	48	10	211	336	94
MCF10A	drugD	0	2	48	0.001	326	336	94
