cell_line	perturbation	replicate	time	time0_tag	ctrl_tag	cell_count
BT20	0	1	48	t0_5	c_17	435
BT20	0	1	72	t0_5	c_20	540
BT20	0	2	48	t0_5	c_18	408
BT20	0	2	72	t0_5	c_21	667
BT20	0	3	48	t0_5	c_19	503
BT20	0	3	72	t0_5	c_22	617
BT20	1	1	48	t0_6	c_23	367
BT20	1	1	72	t0_6	c_26	443
BT20	1	2	48	t0_6	c_24	370
BT20	1	2	72	t0_6	c_27	425
BT20	1	3	48	t0_6	c_25	387
BT20	1	3	72	t0_6	c_28	444
MCF10A	0	1	48	t0_1	c_1	348
MCF10A	0	1	72	t0_1	c_3	666
MCF10A	0	2	48	t0_1	c_2	340
MCF10A	0	2	72	t0_1	c_4	731
MCF10A	1	1	48	t0_2	c_5	244
MCF10A	1	1	72	t0_2	c_7	406
MCF10A	1	2	48	t0_2	c_6	246
MCF10A	1	2	72	t0_2	c_8	496
MCF7	0	1	48	t0_3	c_9	332
MCF7	0	1	72	t0_3	c_11	524
MCF7	0	2	48	t0_3	c_10	327
MCF7	0	2	72	t0_3	c_12	412
MCF7	1	1	48	t0_4	c_13	304
MCF7	1	1	72	t0_4	c_15	524
MCF7	1	2	48	t0_4	c_14	319
MCF7	1	2	72	t0_4	c_16	449
