cell_line	perturbation	replicate	time	cell_count	time0_tag	ctrl_tag
MCF10A	0	1	48	408	t0_1	c_1
MCF10A	0	1	48	357	t0_1	c_1
MCF10A	0	1	48	334	t0_1	c_1
MCF10A	0	1	48	327	t0_1	c_1
MCF10A	0	1	48	327	t0_1	c_1
MCF10A	0	1	48	295	t0_1	c_1
MCF10A	0	1	48	360	t0_1	c_1
MCF10A	0	1	48	397	t0_1	c_1
MCF10A	0	2	48	322	t0_1	c_2
MCF10A	0	2	48	347	t0_1	c_2
MCF10A	0	2	48	384	t0_1	c_2
MCF10A	0	2	48	326	t0_1	c_2
MCF10A	0	2	48	354	t0_1	c_2
MCF10A	0	2	48	344	t0_1	c_2
MCF10A	0	2	48	330	t0_1	c_2
MCF10A	0	2	48	293	t0_1	c_2
MCF10A	0	1	72	600	t0_1	c_3
MCF10A	0	1	72	638	t0_1	c_3
MCF10A	0	1	72	598	t0_1	c_3
MCF10A	0	1	72	662	t0_1	c_3
MCF10A	0	1	72	595	t0_1	c_3
MCF10A	0	1	72	733	t0_1	c_3
MCF10A	0	1	72	688	t0_1	c_3
MCF10A	0	1	72	632	t0_1	c_3
MCF10A	0	2	72	628	t0_1	c_4
MCF10A	0	2	72	506	t0_1	c_4
MCF10A	0	2	72	668	t0_1	c_4
MCF10A	0	2	72	729	t0_1	c_4
MCF10A	0	2	72	675	t0_1	c_4
MCF10A	0	2	72	644	t0_1	c_4
MCF10A	0	2	72	660	t0_1	c_4
MCF10A	0	2	72	657	t0_1	c_4
MCF10A	1	1	48	296	t0_2	c_5
MCF10A	1	1	48	260	t0_2	c_5
MCF10A	1	1	48	230	t0_2	c_5
MCF10A	1	1	48	263	t0_2	c_5
MCF10A	1	1	48	230	t0_2	c_5
MCF10A	1	1	48	263	t0_2	c_5
MCF10A	1	1	48	269	t0_2	c_5
MCF10A	1	1	48	290	t0_2	c_5
MCF10A	1	2	48	264	t0_2	c_6
MCF10A	1	2	48	248	t0_2	c_6
MCF10A	1	2	48	293	t0_2	c_6
MCF10A	1	2	48	212	t0_2	c_6
