cell_line	agent	perturbation	replicate	time	concentration	cell_count
MCF10A	drugA	0	1	48	0.001	359
MCF10A	drugA	0	1	48	0.003162	399
MCF10A	drugA	0	1	48	0.01	405
MCF10A	drugA	0	1	48	0.03162	334
MCF10A	drugA	0	1	48	0.1	360
MCF10A	drugA	0	1	48	0.3162	347
MCF10A	drugA	0	1	48	1	324
MCF10A	drugA	0	1	48	3.162	164
MCF10A	drugA	0	1	48	10	156
MCF10A	drugB	0	1	48	0.001	289
MCF10A	drugB	0	1	48	0.003162	355
MCF10A	drugB	0	1	48	0.01	391
MCF10A	drugB	0	1	48	0.03162	349
MCF10A	drugB	0	1	48	0.1	356
MCF10A	drugB	0	1	48	0.3162	322
MCF10A	drugB	0	1	48	1	255
MCF10A	drugB	0	1	48	3.162	144
MCF10A	drugB	0	1	48	10	143
MCF10A	drugC	0	1	48	0.001	296
MCF10A	drugC	0	1	48	0.003162	332
MCF10A	drugC	0	1	48	0.01	342
MCF10A	drugC	0	1	48	0.03162	312
MCF10A	drugC	0	1	48	0.1	382
MCF10A	drugC	0	1	48	0.3162	290
MCF10A	drugC	0	1	48	1	219
MCF10A	drugC	0	1	48	3.162	240
MCF10A	drugC	0	1	48	10	241
MCF10A	drugD	0	1	48	0.001	343
MCF10A	drugD	0	1	48	0.003162	291
MCF10A	drugD	0	1	48	0.01	308
MCF10A	drugD	0	1	48	0.03162	316
MCF10A	drugD	0	1	48	0.1	230
MCF10A	drugD	0	1	48	0.3162	160
MCF10A	drugD	0	1	48	1	114
MCF10A	drugD	0	1	48	3.162	127
MCF10A	drugD	0	1	48	10	115
MCF10A	drugA	0	2	48	0.001	349
MCF10A	drugA	0	2	48	0.003162	378
MCF10A	drugA	0	2	48	0.01	314
MCF10A	drugA	0	2	48	0.03162	357
MCF10A	drugA	0	2	48	0.1	380
MCF10A	drugA	0	2	48	0.3162	342
MCF10A	drugA	0	2	48	1	236
MCF10A	drugA	0	2	48	3.162	199
MCF10A	drugA	0	2	48	10	141
MCF10A	drugB	0	2	48	0.001	328
MCF10A	drugB	0	2	48	0.003162	311
MCF10A	drugB	0	2	48	0.01	291
MCF10A	drugB	0	2	48	0.03162	348
MCF10A	drugB	0	2	48	0.1	363
MCF10A	drugB	0	2	48	0.3162	349
MCF10A	drugB	0	2	48	1	312
MCF10A	drugB	0	2	48	3.162	191
MCF10A	drugB	0	2	48	10	172
MCF10A	drugC	0	2	48	0.001	337
MCF10A	drugC	0	2	48	0.003162	340
MCF10A	drugC	0	2	48	0.01	304
MCF10A	drugC	0	2	48	0.03162	391
MCF10A	drugC	0	2	48	0.1	291
MCF10A	drugC	0	2	48	0.3162	296
MCF10A	drugC	0	2	48	1	232
MCF10A	drugC	0	2	48	3.162	223
MCF10A	drugC	0	2	48	10	211
MCF10A	drugD	0	2	48	0.001	326
MCF10A	drugD	0	2	48	0.003162	329
MCF10A	drugD	0	2	48	0.01	374
MCF10A	drugD	0	2	48	0.03162	283
MCF10A	drugD	0	2	48	0.1	200
MCF10A	drugD	0	2	48	0.3162	111
MCF10A	drugD	0	2	48	1	123
MCF10A	drugD	0	2	48	3.162	123
MCF10A	drugD	0	2	48	10	101
MCF10A	drugA	0	1	72	0.001	670
MCF10A	drugA	0	1	72	0.003162	564
MCF10A	drugA	0	1	72	0.01	582
MCF10A	drugA	0	1	72	0.03162	579
MCF10A	drugA	0	1	72	0.1	687
MCF10A	drugA	0	1	72	0.3162	654
MCF10A	drugA	0	1	72	1	479
MCF10A	drugA	0	1	72	3.162	294
MCF10A	drugA	0	1	72	10	233
MCF10A	drugB	0	1	72	0.001	561
MCF10A	drugB	0	1	72	0.003162	641
MCF10A	drugB	0	1	72	0.01	664
MCF10A	drugB	0	1	72	0.03162	568
MCF10A	drugB	0	1	72	0.1	610
MCF10A	drugB	0	1	72	0.3162	562
MCF10A	drugB	0	1	72	1	425
MCF10A	drugB	0	1	72	3.162	182
MCF10A	drugB	0	1	72	10	192
MCF10A	drugC	0	1	72	0.001	660
MCF10A	drugC	0	1	72	0.003162	671
MCF10A	drugC	0	1	72	0.01	701
MCF10A	drugC	0	1	72	0.03162	607
MCF10A	drugC	0	1	72	0.1	632
MCF10A	drugC	0	1	72	0.3162	415
MCF10A	drugC	0	1	72	1	355
MCF10A	drugC	0	1	72	3.162	328
MCF10A	drugC	0	1	72	10	376
