cell_line	agent	perturbation	replicate	time	concentration	cell_count	GRvalue
MCF10A	drugA	0	1	48	0.001	359	1.04613
MCF10A	drugA	0	1	48	0.003162	399	1.16494
MCF10A	drugA	0	1	48	0.01	405	1.18227
MCF10A	drugA	0	1	48	0.03162	334	0.968724
MCF10A	drugA	0	1	48	0.1	360	1.04917
MCF10A	drugA	0	1	48	0.3162	347	1.0093
MCF10A	drugA	0	1	48	1	324	0.937008
MCF10A	drugA	0	1	48	3.162	164	0.346307
MCF10A	drugA	0	1	48	10	156	0.310811
MCF10A	drugB	0	1	48	0.001	289	0.822242
MCF10A	drugB	0	1	48	0.003162	355	1.03392
MCF10A	drugB	0	1	48	0.01	391	1.14164
MCF10A	drugB	0	1	48	0.03162	349	1.01548
MCF10A	drugB	0	1	48	0.1	356	1.03698
MCF10A	drugB	0	1	48	0.3162	322	0.930611
MCF10A	drugB	0	1	48	1	255	0.70437
MCF10A	drugB	0	1	48	3.162	144	0.255935
MCF10A	drugB	0	1	48	10	143	0.251268
MCF10A	drugC	0	1	48	0.001	296	0.845692
MCF10A	drugC	0	1	48	0.003162	332	0.962417
MCF10A	drugC	0	1	48	0.01	342	0.993779
MCF10A	drugC	0	1	48	0.03162	312	0.898342
MCF10A	drugC	0	1	48	0.1	382	1.11516
MCF10A	drugC	0	1	48	0.3162	290	0.825608
MCF10A	drugC	0	1	48	1	219	0.571267
MCF10A	drugC	0	1	48	3.162	240	0.650049
MCF10A	drugC	0	1	48	10	241	0.653718
MCF10A	drugD	0	1	48	0.001	343	0.996892
MCF10A	drugD	0	1	48	0.003162	291	0.828969
MCF10A	drugD	0	1	48	0.01	308	0.8853
MCF10A	drugD	0	1	48	0.03162	316	0.911307
MCF10A	drugD	0	1	48	0.1	230	0.612952
MCF10A	drugD	0	1	48	0.3162	160	0.328662
MCF10A	drugD	0	1	48	1	114	0.108563
MCF10A	drugD	0	1	48	3.162	127	0.174404
MCF10A	drugD	0	1	48	10	115	0.113748
MCF10A	drugA	0	2	48	0.001	349	1.04174
MCF10A	drugA	0	2	48	0.003162	378	1.13238
MCF10A	drugA	0	2	48	0.01	314	0.927644
MCF10A	drugA	0	2	48	0.03162	357	1.06708
MCF10A	drugA	0	2	48	0.1	380	1.13851
MCF10A	drugA	0	2	48	0.3162	342	1.01936
MCF10A	drugA	0	2	48	1	236	0.650223
MCF10A	drugA	0	2	48	3.162	199	0.503985
MCF10A	drugA	0	2	48	10	141	0.246867
MCF10A	drugB	0	2	48	0.001	328	0.973946
MCF10A	drugB	0	2	48	0.003162	311	0.9176
MCF10A	drugB	0	2	48	0.01	291	0.849481
MCF10A	drugB	0	2	48	0.03162	348	1.03856
MCF10A	drugB	0	2	48	0.1	363	1.08591
MCF10A	drugB	0	2	48	0.3162	349	1.04174
MCF10A	drugB	0	2	48	1	312	0.920953
MCF10A	drugB	0	2	48	3.162	191	0.470777
MCF10A	drugB	0	2	48	10	172	0.389266
MCF10A	drugC	0	2	48	0.001	337	1.00324
MCF10A	drugC	0	2	48	0.003162	340	1.01292
MCF10A	drugC	0	2	48	0.01	304	0.893992
MCF10A	drugC	0	2	48	0.03162	391	1.17198
MCF10A	drugC	0	2	48	0.1	291	0.849481
MCF10A	drugC	0	2	48	0.3162	296	0.866706
MCF10A	drugC	0	2	48	1	232	0.634944
MCF10A	drugC	0	2	48	3.162	223	0.60012
MCF10A	drugC	0	2	48	10	211	0.552676
MCF10A	drugD	0	2	48	0.001	326	0.967387
MCF10A	drugD	0	2	48	0.003162	329	0.977218
MCF10A	drugD	0	2	48	0.01	374	1.12007
MCF10A	drugD	0	2	48	0.03162	283	0.821638
MCF10A	drugD	0	2	48	0.1	200	0.508092
MCF10A	drugD	0	2	48	0.3162	111	0.0946744
MCF10A	drugD	0	2	48	1	123	0.157562
MCF10A	drugD	0	2	48	3.162	123	0.157562
MCF10A	drugD	0	2	48	10	101	0.0398578
MCF10A	drugA	0	1	72	0.001	670	1.04172
MCF10A	drugA	0	1	72	0.003162	564	0.917841
MCF10A	drugA	0	1	72	0.01	582	0.939864
MCF10A	drugA	0	1	72	0.03162	579	0.936224
MCF10A	drugA	0	1	72	0.1	687	1.0604
MCF10A	drugA	0	1	72	0.3162	654	1.02386
MCF10A	drugA	0	1	72	1	479	0.807294
MCF10A	drugA	0	1	72	3.162	294	0.513503
MCF10A	drugA	0	1	72	10	233	0.390846
MCF10A	drugB	0	1	72	0.001	561	0.914127
MCF10A	drugB	0	1	72	0.003162	641	1.00915
MCF10A	drugB	0	1	72	0.01	664	1.03506
MCF10A	drugB	0	1	72	0.03162	568	0.922773
MCF10A	drugB	0	1	72	0.1	610	0.973277
MCF10A	drugB	0	1	72	0.3162	562	0.915367
MCF10A	drugB	0	1	72	1	425	0.730411
MCF10A	drugB	0	1	72	3.162	182	0.271415
MCF10A	drugB	0	1	72	10	192	0.296373
MCF10A	drugC	0	1	72	0.001	660	1.03059
MCF10A	drugC	0	1	72	0.003162	671	1.04283
MCF10A	drugC	0	1	72	0.01	701	1.07556
MCF10A	drugC	0	1	72	0.03162	607	0.969745
MCF10A	drugC	0	1	72	0.1	632	0.998851
MCF10A	drugC	0	1	72	0.3162	415	0.715501
MCF10A	drugC	0	1	72	1	355	0.620848
MCF10A	drugC	0	1	72	3.162	328	0.574913
MCF10A	drugC	0	1	72	10	376	0.65506
MCF10A	drugD	0	1	72	0.001	632	0.998851
MCF10A	drugD	0	1	72	0.003162	697	1.07125
MCF10A	drugD	0	1	72	0.01	627	0.993089
MCF10A	drugD	0	1	72	0.03162	497	0.831688
MCF10A	drugD	0	1	72	0.1	451	0.76816
MCF10A	drugD	0	1	72	0.3162	169	0.237628
MCF10A	drugD	0	1	72	1	134	0.137527
MCF10A	drugD	0	1	72	3.162	146	0.173543
MCF10A	drugD	0	1	72	10	155	0.199336
MCF10A	drugA	0	2	72	0.001	696	1.04154
MCF10A	drugA	0	2	72	0.003162	648	0.99019
MCF10A	drugA	0	2	72	0.01	575	0.907174
MCF10A	drugA	0	2	72	0.03162	704	1.04987
MCF10A	drugA	0	2	72	0.1	595	0.930562
MCF10A	drugA	0	2	72	0.3162	529	0.851319
MCF10A	drugA	0	2	72	1	610	0.947774
MCF10A	drugA	0	2	72	3.162	377	0.64073
MCF10A	drugA	0	2	72	10	232	0.379974
MCF10A	drugB	0	2	72	0.001	633	0.973643
MCF10A	drugB	0	2	72	0.003162	538	0.862486
MCF10A	drugB	0	2	72	0.01	532	0.855055
MCF10A	drugB	0	2	72	0.03162	658	1.00108
MCF10A	drugB	0	2	72	0.1	505	0.820929
MCF10A	drugB	0	2	72	0.3162	458	0.758607
MCF10A	drugB	0	2	72	1	332	0.568043
MCF10A	drugB	0	2	72	3.162	173	0.24291
MCF10A	drugB	0	2	72	10	198	0.304177
MCF10A	drugC	0	2	72	0.001	509	0.826057
MCF10A	drugC	0	2	72	0.003162	582	0.915419
MCF10A	drugC	0	2	72	0.01	644	0.985802
MCF10A	drugC	0	2	72	0.03162	594	0.929405
MCF10A	drugC	0	2	72	0.1	551	0.878406
MCF10A	drugC	0	2	72	0.3162	481	0.789594
MCF10A	drugC	0	2	72	1	385	0.653058
MCF10A	drugC	0	2	72	3.162	341	0.583066
MCF10A	drugC	0	2	72	10	340	0.581409
MCF10A	drugD	0	2	72	0.001	642	0.983601
MCF10A	drugD	0	2	72	0.003162	563	0.892889
MCF10A	drugD	0	2	72	0.01	542	0.867411
MCF10A	drugD	0	2	72	0.03162	601	0.93748
MCF10A	drugD	0	2	72	0.1	374	0.636063
MCF10A	drugD	0	2	72	0.3162	190	0.285142
MCF10A	drugD	0	2	72	1	128	0.116345
MCF10A	drugD	0	2	72	3.162	132	0.128658
MCF10A	drugD	0	2	72	10	117	0.0811522
MCF10A	drugA	1	1	48	0.001	247	0.912012
